Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
55,1437,87,Jul 7,PHI,@,MIA,W4-3,CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.287,.381,.392,.773,4,.68,-0.072,.77,-0.05%,-0.70,0.00,0.00,DH
56,1438,88,Jul 8,PHI,@,MIA,L3-5,GS-5,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,.290,.386,.400,.786,4,1.09,-0.024,1.22,-0.02%,-0.21,7.00,9.00,DH
57,1439,90 (1),Jul 14,PHI,,SDP,L3-8,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.290,.384,.397,.781,4,.82,-0.020,.84,-0.01%,-0.29,3.00,3.00,DH
58,1440,91,Jul 15 (1),PHI,,SDP,W6-4,8-9,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.293,.386,.400,.786,9,5.09,0.178,5.20,0.11%,0.73,7.00,9.70,PH
59,1441,92,Jul 15 (2),PHI,,SDP,W9-4,CG,5,3,2,2,1,0,1,1,2,0,0,0,0,0,0,0,1,0,.298,.395,.422,.817,4,.54,0.174,.55,0.11%,1.57,30.00,39.90,DH
60,1442,93,Jul 16,PHI,,SDP,W7-6,CG(12),5,5,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.300,.395,.426,.821,3,1.90,0.511,1.96,0.32%,1.37,12.00,15.70,DH
61,1443,94,Jul 18,PHI,,MIL,W4-3,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.301,.396,.425,.821,4,.70,0.042,.75,0.03%,0.68,5.00,6.00,DH
62,1444,95,Jul 19,PHI,,MIL,L3-5,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.300,.394,.422,.816,4,1.30,0.007,1.51,0.01%,-0.34,3.00,3.00,DH
63,1445,96,Jul 20,PHI,,MIL,L0-4,CG,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.295,.388,.415,.803,4,.90,-0.085,1.01,-0.06%,-1.00,0.00,0.00,DH
64,1446,97,Jul 21,PHI,@,CLE,L5-6,CG,5,4,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.294,.388,.412,.800,4,1.12,-0.074,1.18,-0.05%,-0.12,7.00,9.20,1B
